term,entropy
보조 ##장비,2.7399926553345195
마 ##검사,2.739527665685358
대량 ##생산,2.7389343009272356
모빌 ##슈트,2.738463404500115
공부 ##하,2.7383283198715174
약 ##공,2.7381404261635933
백 ##호,2.7380802305962724
이 ##백,2.7380783554095363
천 ##명,2.7371696276023245
소 ##환사,2.7366202979151986
진군 ##하,2.735746864075358
다 ##하,2.7343605307362036
도피 ##하,2.7337400713260975
솔 ##플,2.733130328632193
포 ##킹,2.7325001574180816
빛 ##이,2.7321605811226597
크리 ##쳐,2.731964627339301
사 ##이,2.7315051316448016
포 ##격기,2.731462524371128
리스 ##폰,2.7304311248682085
궁 ##뜰 ##로,2.730113963040932
최 ##하위,2.7300101606379545
감행 ##하,2.72978460494289
챙겨 ##가,2.729712359859128
절망 ##적 ##이,2.7296948217691495
칠 ##백,2.7294745880693427
격투 ##가,2.7287000706033817
먼 ##치킨,2.728262698393648
싸움 ##이,2.7276287475089736
해 ##체하,2.727628532882963
실행 ##하,2.7273757490972894
특수 ##부대,2.727007721455267
리뉴 ##얼,2.726834820020337
처리 ##하,2.7254039401293864
말 ##하,2.7253068199831945
심문 ##하,2.724610579039468
확인 ##하,2.724419966899485
진행 ##하,2.7235439854436603
정정 ##하,2.7234540848854043
버 ##닝,2.7226792355607956
말 ##해 ##주,2.7220220866306737
방어 ##형,2.7219146700119587
우선 ##이,2.7219054518371046
써 ##보,2.7213604287488997
현대 ##화,2.7213546959997026
살려 ##내,2.719894248881092
인연 ##이,2.719489561130124
사람 ##들 ##이,2.719328494463684
최 ##강자,2.7189279282486742
애완 ##동물,2.718021389577693
딜 ##탱,2.7178740053393935
필수 ##요소,2.7172716460440935
거대 ##괴수,2.717210788084958
옷 ##이,2.71692076966937
약탈 ##하,2.7166874881329512
가르쳐 ##주,2.716444804874434
부족 ##하,2.716048896421723
스 ##폰,2.7155213461384933
자백 ##하,2.7153653304790364
걸려 ##있,2.7143306678297647
때려 ##박,2.7142125787280067
달 ##이,2.7140735113741035
인 ##챈 ##트,2.7140178261401013
천 ##구 ##백,2.7138070644387646
슬 ##레이어,2.7134571485420107
소시 ##오 ##패스,2.713261801216111
악역 ##이,2.713215659240327
추종 ##자,2.7129180830235025
확률 ##이,2.712646476630063
습격 ##하,2.712225760714297
진입 ##하,2.7117386118572466
대 ##기업,2.7112361430994287
추진 ##하,2.7104329247003616
서울 ##특별시,2.709983866271234
맞이 ##하,2.7096490339811052
본인 ##이,2.709524813143071
이 ##륙,2.7093941285538214
재 ##조정,2.70934647934619
눈 ##새,2.70805020110221
법 ##이,2.7073950830765985
대접 ##하,2.7072424980814804
플 ##레티 ##넘,2.7071827042692123
후반 ##이,2.706736029073467
받 ##아 ##주,2.706209257881169
오드 ##아이,2.705565137876489
무 ##브,2.7052873667699378
