term,entropy
##하 ##는 ##걸,4.928928913381564
##였 ##기,4.92807085667678
##이 ##건,4.925249934150677
##들 ##로부터,4.922602611888616
##형 ##이,4.9214382415333
##제 ##를,4.915131936837465
##한 ##데 ##다,4.914485011097507
##시 ##의,4.911977121074612
##인데 ##다,4.907781499718554
##쪽 ##이,4.898055620561124
##하 ##기 ##를,4.895253263612217
##시키 ##려,4.892831290557313
##시 ##에 ##는,4.886589155728046
##해 ##지 ##는,4.8812058688606434
##성 ##을,4.877504164217656
##안 ##에,4.875642508655738
##들 ##한테,4.875056002221568
##이 ##라며,4.874642145653293
##까지 ##만,4.866083306383029
##시키 ##거나,4.8634575805847104
##하 ##였 ##다는,4.863126265262226
##화 ##된,4.85208912731952
##기 ##의,4.851524607702131
##해 ##주 ##면,4.848810659571572
##한 ##뒤,4.844221900862006
##측 ##의,4.843038029274916
##부터 ##는,4.8336221886369
##스 ##의,4.828954023016291
##이 ##었 ##다가,4.828893870380378
##함 ##은,4.828840158094951
##권 ##과,4.827957256606688
##점 ##이,4.827818279200203
##인지 ##는,4.827259806033851
##하 ##다는,4.821468687858768
##권 ##을,4.820876779846461
##받 ##아,4.815104030006192
##측 ##에서,4.8148424450616
##되 ##었 ##는데,4.813505924966377
##되 ##지 ##는,4.812724265342602
##하 ##듯이,4.812670861690594
##적 ##이 ##며,4.812611907857022
##되 ##던,4.808991440909414
##하 ##려다,4.808613065578012
##일 ##을,4.802774514405134
##해 ##준,4.802092664834914
##되 ##므로,4.802016696596198
##되 ##는 ##데,4.801262711782358
##기 ##나,4.80028014640829
##되 ##긴,4.799996287931703
##덱 ##이,4.7980260845069225
##뿐 ##만 ##이,4.797432279430182
##덕 ##에,4.794672906349172
##팀 ##과,4.794666937763969
##일 ##이,4.790854096172588
##들 ##과 ##도,4.790312809154104
##만 ##도,4.788898107953977
##들 ##에게 ##는,4.783919088747115
##년 ##의,4.781952839693094
##들 ##이 ##라,4.781710568784291
##해 ##달 ##라는,4.77636232252619
##권 ##의,4.773809370082626
##시키 ##지,4.7725897208842705
##화 ##에선,4.772429285666944
##기 ##는,4.772110626105426
##였 ##지만,4.770389063043861
##자체 ##가,4.767461016055035
##했었 ##던,4.76618818764282
##류 ##의,4.764642050465999
##으로 ##는,4.758949911199829
##권 ##은,4.75787537679965
##상 ##의,4.755349776722452
##까지 ##도,4.753886165082458
##하 ##다고,4.750606148475243
##해 ##가 ##며,4.7469097152693225
##지 ##는,4.746032047854466
##면 ##에서,4.744823168516819
##되 ##었 ##다,4.743937529105746
##하고 ##는,4.7423975076847675
##군 ##이,4.7417576412940985
##자 ##로,4.74095144932311
##이 ##라면서,4.740175697105245
##받 ##은,4.737062808914331
##판 ##을,4.73679909930396
##해 ##주 ##고,4.734101934268905
##쪽 ##은,4.733135134398386
##지역 ##의,4.728465997872656
##적 ##이 ##라는,4.728235978277016
##년 ##까지,4.724443583679504
##됐 ##다는,4.723858327923605
##해 ##지 ##고,4.722350188707241
##모드 ##로,4.72019056115205
##측 ##은,4.718303460977103
##역 ##에서,4.717939761970861
##팀 ##을,4.716371287789387
##간 ##의,4.715997409093378
##까지 ##의,4.7113221050932665
##이 ##여서,4.70962944558636
##번 ##으로,4.707447730911039
##계 ##에,4.707068450516367
##인 ##데 ##다,4.705154404231856
##하 ##였을,4.704788015550101
##수 ##가,4.700847470044913
##권 ##이,4.691829803676768
##하 ##였 ##기,4.690171741227112
##상 ##으로,4.688447906039953
##덕분 ##에,4.685140858375629
##지 ##도,4.684382982119087
##받 ##을,4.683841136695016
##됐 ##고,4.68296468648168
##되 ##어 ##있 ##는,4.680079488369122
##기 ##로,4.679893400314687
##군 ##과,4.67838963347869
##으로써 ##의,4.675375800784079
##상 ##을,4.674608648813683
##급 ##은,4.672190004382775
##됐 ##다고,4.67148937254996
##에 ##나,4.669614921053315
##해야 ##하 ##는,4.666117120714481
##지 ##를,4.664121940623465
##지역 ##에,4.663989537293117
##이 ##었 ##음 ##을,4.662133072346385
##없 ##는,4.6589517011563455
##해 ##보이 ##는,4.658663610983739
##하 ##겠 ##다며,4.6582414163721815
##능력 ##을,4.657134231831318
##덱 ##의,4.653774393528842
##되 ##었 ##기 ##에,4.652003068220741
##카드 ##를,4.65004709084119
##할 ##수 ##도,4.64802370214251
##시키 ##면서,4.645028725575961
##효과 ##를,4.6431126097445174
##할 ##만 ##한,4.642652719292696
##이 ##어도,4.640022477657369
##하 ##는 ##것 ##도,4.639618591654112
##이 ##라는 ##게,4.637224081739193
##했 ##을 ##때,4.636391819057701
##번 ##을,4.634477994041436
##하 ##기 ##엔,4.631787606437659
##자 ##가,4.630301255260272
##에서 ##처럼,4.629878293548915
##들 ##에게서,4.629465093174769
##치고 ##는,4.629005211933074
##사 ##의,4.627847052263968
##들 ##조차,4.627771128331561
##했 ##거나,4.626903933163864
##형 ##과,4.625270265087742
##급 ##이,4.623771217291361
##됐 ##을,4.620651657199458
##시간 ##을,4.6177905720857195
##이 ##라기 ##보다 ##는,4.617565851328158
##등 ##에,4.6167827901326985
##한 ##듯,4.61615382832944
##팀 ##은,4.615604233406614
##시키 ##려고,4.610260069484643
##됐 ##던,4.609762847260597
##전 ##의,4.606543530923863
##역 ##을,4.604820241434735
##효과 ##가,4.6039321457492735
##하 ##는지,4.603723168706132
##수 ##는,4.603103980195555
##이 ##라기,4.6024283588500605
##로 ##와,4.598302485307773
##팀 ##의,4.595555305381626
##됨 ##에,4.595452426663285
##으로 ##도,4.593393657155363
##되 ##도록,4.591963895177975
##만 ##의,4.590562974789157
##지역 ##에서,4.5901579536882355
##적 ##으로 ##도,4.586208213970211
##이 ##랍시고,4.582641575381262
##계 ##를,4.581843734251368
##였 ##기 ##에,4.581503320470395
##들 ##마저,4.581429852525407
##문제 ##가,4.580384105561281
##당하 ##면서,4.578761704982602
##시키 ##려는,4.577717029333164
##로서 ##도,4.577653328433596
##일지 ##도,4.577305402706259
##하 ##든,4.5771386023110745
##되 ##기 ##에,4.573190455043486
##능력 ##이,4.572671009333009
##시켰 ##고,4.568052696808102
##했 ##는데 ##도,4.5676990765364565
##하 ##는가,4.5663317477978165
##판 ##이,4.566016417971781
##이 ##었 ##다,4.563771021242725
##에서 ##까지,4.563396003994619
##계 ##에서,4.563259643024932
##팀 ##으로,4.561820397223754
##하 ##기 ##보다 ##는,4.560978881275371
##왕 ##의,4.560720099283993
##시키 ##는 ##데,4.559895094244631
##들 ##이 ##라는,4.557951557769637
##문제 ##로,4.557022097240348
##과정 ##에서,4.555821732457973
##하 ##기 ##위해,4.5548503689254805
##당하 ##며,4.554734161557191
##계 ##와,4.553178885979614
##됐 ##지만,4.5529765497093235
##족 ##의,4.549734922729433
##하 ##듯,4.549361965051727
##측 ##이,4.548213569337312
##하 ##는 ##것 ##을,4.546068402722257
##되 ##니,4.545803538725743
##스 ##를,4.544359244471301
##대 ##는,4.544301434972728
##하 ##는 ##등,4.536566991639207
##들 ##에 ##는,4.536310471055086
##화 ##한,4.532089174084015
##이 ##라지만,4.530280275407179
##임 ##은,4.529025595947567
##는 ##게,4.525526018263096
##주 ##의,4.522106599136393
##에 ##의,4.515588461194836
##스 ##는,4.511734431934481
##해야 ##할,4.510683302259213
##년 ##부터,4.509030877488733
##번 ##길,4.507002247558365
##한 ##데,4.506984448245526
##들 ##이 ##라고,4.505788386150224
##되 ##어도,4.505544238067403
##해 ##놓 ##고,4.505387744549425
##문제 ##를,4.504590344585146
##장치 ##를,4.503486331376482
##시켰 ##다는,4.502954880835684
##중 ##이 ##던,4.502365020897074
##되 ##는데,4.502239771930669
##시키 ##기 ##도,4.501035718210974
##판 ##에,4.50096102561436
##이 ##에게,4.50033922921198
##계 ##가,4.500004530269399
##지역 ##을,4.499175487737717
##들 ##보다 ##도,4.497301139175282
##함 ##의,4.496719505838038
##물 ##을,4.495481413981383
##과 ##에,4.494772030020161
##형 ##인,4.490893888942577
##되 ##게,4.489899541684873
##기 ##까지,4.488798413827471
##당하 ##게,4.485372075855755
##전 ##에서,4.48438041299921
##대 ##의,4.479245340694908
##하 ##니까,4.479069367981684
##때문 ##에,4.474989134917196
##형 ##을,4.474474771188916
##해 ##왔 ##던,4.474239712359259
##식 ##의,4.471513668628224
##류 ##는,4.470934726150752
##들 ##이랑,4.46911012118375
